question,answer
Which body part does the Rope Lat Pull-down - Gethin Variation exercise target?,Lats
What equipment is needed for the Rope Lat Pull-down - Gethin Variation exercise?,Cable
What is the difficulty level of the Rope Lat Pull-down - Gethin Variation exercise?,Intermediate
What type of exercise is Rope Lat Pull-down - Gethin Variation?,Strength
What is the Straight-Arm Pull-Down - Gethin Variation exercise?,"The straight-arm bar pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine. It can either be performed in an athletic upright stance, or slightly bent-over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, like 8-15 reps or above."
Which body part does the Straight-Arm Pull-Down - Gethin Variation exercise target?,Lats
What equipment is needed for the Straight-Arm Pull-Down - Gethin Variation exercise?,Cable
What is the difficulty level of the Straight-Arm Pull-Down - Gethin Variation exercise?,Intermediate
What type of exercise is Straight-Arm Pull-Down - Gethin Variation?,Strength
What is the High-cable standing row exercise?,"The high-cable standing row is an exercise targeting the lats. The high position allows for more engagement of the upper back, as well, specifically the rhomboids and teres major."
Which body part does the High-cable standing row exercise target?,Lats
What equipment is needed for the High-cable standing row exercise?,Cable
What is the difficulty level of the High-cable standing row exercise?,Intermediate
What type of exercise is High-cable standing row?,Strength
What is the Lat Pull-down - Gethin Variation exercise?,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack."
Which body part does the Lat Pull-down - Gethin Variation exercise target?,Lats
What equipment is needed for the Lat Pull-down - Gethin Variation exercise?,Cable
What is the difficulty level of the Lat Pull-down - Gethin Variation exercise?,Intermediate
What type of exercise is Lat Pull-down - Gethin Variation?,Strength
What is the Wide-Grip Lat Pull-Down - Gethin Variation exercise?,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack."
Which body part does the Wide-Grip Lat Pull-Down - Gethin Variation exercise target?,Lats
What equipment is needed for the Wide-Grip Lat Pull-Down - Gethin Variation exercise?,Cable
What is the difficulty level of the Wide-Grip Lat Pull-Down - Gethin Variation exercise?,Intermediate
What type of exercise is Wide-Grip Lat Pull-Down - Gethin Variation?,Strength
What is the Behind-The-Neck Pull-Down - Gethin Variation exercise?,"The behind-the-neck pull-down is a cable exercise intended to target the muscles of the upper and middle back. If you have the requisite shoulder mobility, it can help you targets the upper back muscles, including the trapezius and rhomboids, as well as the lats (latissimus dorsi). It is popular among elite bodybuilders and physique athletes, but some coaches consider it unsafe to the shoulder joint, in particular to people with existing shoulder problems."
Which body part does the Behind-The-Neck Pull-Down - Gethin Variation exercise target?,Lats
What equipment is needed for the Behind-The-Neck Pull-Down - Gethin Variation exercise?,Cable
What is the difficulty level of the Behind-The-Neck Pull-Down - Gethin Variation exercise?,Intermediate
What type of exercise is Behind-The-Neck Pull-Down - Gethin Variation?,Strength
What is the Single-Arm Cable Row - Gethin Variation exercise?,"The single-arm cable seated row is a version of the cable row movement that train the muscles of the upper back one side at a time. It targets a wide range of muscles including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, as well as the biceps. The single-arm row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts."
Which body part does the Single-Arm Cable Row - Gethin Variation exercise target?,Lats
What equipment is needed for the Single-Arm Cable Row - Gethin Variation exercise?,Cable
What is the difficulty level of the Single-Arm Cable Row - Gethin Variation exercise?,Intermediate
What type of exercise is Single-Arm Cable Row - Gethin Variation?,Strength
Which body part does the Scapular Rows exercise target?,Lats
What equipment is needed for the Scapular Rows exercise?,Cable
What is the difficulty level of the Scapular Rows exercise?,Intermediate
What type of exercise is Scapular Rows?,Strength
Which body part does the Standing V-Grip Cable Rows exercise target?,Lats
What equipment is needed for the Standing V-Grip Cable Rows exercise?,Cable
What is the difficulty level of the Standing V-Grip Cable Rows exercise?,Intermediate
What type of exercise is Standing V-Grip Cable Rows?,Strength
What is the AM Close-Grip Pull-Down exercise?,"The close-grip pull-down is a variation on the lat pull-down, acable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack."
Which body part does the AM Close-Grip Pull-Down exercise target?,Lats
What equipment is needed for the AM Close-Grip Pull-Down exercise?,Cable
What is the difficulty level of the AM Close-Grip Pull-Down exercise?,Intermediate
What type of exercise is AM Close-Grip Pull-Down?,Strength
What is the AM Wide-Grip Pull-Down exercise?,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack."
Which body part does the AM Wide-Grip Pull-Down exercise target?,Lats
What equipment is needed for the AM Wide-Grip Pull-Down exercise?,Cable
What is the difficulty level of the AM Wide-Grip Pull-Down exercise?,Intermediate
What type of exercise is AM Wide-Grip Pull-Down?,Strength
What is the UP Lat Pull-Down exercise?,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack."
Which body part does the UP Lat Pull-Down exercise target?,Lats
What equipment is needed for the UP Lat Pull-Down exercise?,Cable
What is the difficulty level of the UP Lat Pull-Down exercise?,Intermediate
What type of exercise is UP Lat Pull-Down?,Strength
What is the Reverse-grip lat pull-down exercise?,"The reverse-grip lat pull-down is variation on the lat pull-down that targets the lower lats more than an overhand grip. Because the hands are relatively close together, it also increases the range of motion beyond wider-grip pull-down variations. It can be performed for low reps, such as 5-6 per set, for back strength, or for higher reps for size."
Which body part does the Reverse-grip lat pull-down exercise target?,Lats
What equipment is needed for the Reverse-grip lat pull-down exercise?,Machine
What is the difficulty level of the Reverse-grip lat pull-down exercise?,Intermediate
What type of exercise is Reverse-grip lat pull-down?,Strength
What is the rating of the Reverse-grip lat pull-down exercise?,8.5
What is the Machine seated row exercise?,"The machine seated row is a popular exercise targeting the back muscles, particularly the lats (latissimus dorsi), rhomboids, and middle and lower trapezius. There is a wide variety of seated row machines, but most of them approximate the motion of a free-weight row, but in an upright, forward-facing position. Machine row variations are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or back-focused portion of a workout."
Which body part does the Machine seated row exercise target?,Lats
What equipment is needed for the Machine seated row exercise?,Machine
What is the difficulty level of the Machine seated row exercise?,Beginner
What type of exercise is Machine seated row?,Strength
What is the rating of the Machine seated row exercise?,8.4
What is the Machine-assisted pull-up exercise?,"The machine-assisted pull-up takes a classic back-building exercise and adds assistance to make the movement easier than the bodyweight version. The amount of assistance can easily be changed by moving the pin in the stack. While some people use this variation as a substitute for pull-ups or as an assistance exercise for pull-ups, it is also effective as a way to perform the pull-up motion in traditional muscle-building ranges. This variation is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or back-focused training."
Which body part does the Machine-assisted pull-up exercise target?,Lats
What equipment is needed for the Machine-assisted pull-up exercise?,Machine
What is the difficulty level of the Machine-assisted pull-up exercise?,Beginner
What type of exercise is Machine-assisted pull-up?,Strength
What is the rating of the Machine-assisted pull-up exercise?,8.2
What is the Single-arm pull-down exercise?,"The single-arm pull-down is a variation on the lat pull-down that is performed one arm at a time, usually with a D-shaped handle and a cable stack. Many lifters find they can feel the lat (latissimus dorsi) muscles working better with single-arm variations."
Which body part does the Single-arm pull-down exercise target?,Lats
What equipment is needed for the Single-arm pull-down exercise?,Machine
What is the difficulty level of the Single-arm pull-down exercise?,Intermediate
What type of exercise is Single-arm pull-down?,Strength
What is the rating of the Single-arm pull-down exercise?,7.3
Which body part does the Chest-Supported Smith Machine Row - Gethin Variation exercise target?,Lats
What equipment is needed for the Chest-Supported Smith Machine Row - Gethin Variation exercise?,Machine
What is the difficulty level of the Chest-Supported Smith Machine Row - Gethin Variation exercise?,Intermediate
What type of exercise is Chest-Supported Smith Machine Row - Gethin Variation?,Strength
What is the Single-arm machine high row exercise?,"The single-arm machine high row is a machine-based exercise targeting the back muscles, including the lats, rhomboids, and middle and lower traps. It approximates the motion of a free-weight row, but uses a selectorized weight-stack or plate-loaded machine. Many such machines also allow you to choose between different grips and grip widths. Machine-based rows are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or back-focused portion of a workout."
Which body part does the Single-arm machine high row exercise target?,Lats
What equipment is needed for the Single-arm machine high row exercise?,Machine
What is the difficulty level of the Single-arm machine high row exercise?,Intermediate
What type of exercise is Single-arm machine high row?,Strength
Which body part does the Machine Pull-Over - Gethin Variation exercise target?,Lats
What equipment is needed for the Machine Pull-Over - Gethin Variation exercise?,Machine
What is the difficulty level of the Machine Pull-Over - Gethin Variation exercise?,Intermediate
What type of exercise is Machine Pull-Over - Gethin Variation?,Strength
What is the Seated Machine Row - Gethin Variation exercise?,"The machine seated row is an exercise targeting the back muscles, emphasizing the mid- to upper-back."
Which body part does the Seated Machine Row - Gethin Variation exercise target?,Lats
What equipment is needed for the Seated Machine Row - Gethin Variation exercise?,Machine
What is the difficulty level of the Seated Machine Row - Gethin Variation exercise?,Intermediate
What type of exercise is Seated Machine Row - Gethin Variation?,Strength
Which body part does the Wide-Grip Machine Row exercise target?,Lats
What equipment is needed for the Wide-Grip Machine Row exercise?,Machine
What is the difficulty level of the Wide-Grip Machine Row exercise?,Intermediate
What type of exercise is Wide-Grip Machine Row?,Strength
What is the King Maker Lat Pull-Down exercise?,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack."
Which body part does the King Maker Lat Pull-Down exercise target?,Lats
What equipment is needed for the King Maker Lat Pull-Down exercise?,Machine
What is the difficulty level of the King Maker Lat Pull-Down exercise?,Intermediate
What type of exercise is King Maker Lat Pull-Down?,Strength
Which body part does the Robertson Half-Kneeling Landmine Press exercise target?,Lats
What equipment is needed for the Robertson Half-Kneeling Landmine Press exercise?,Machine
What is the difficulty level of the Robertson Half-Kneeling Landmine Press exercise?,Intermediate
What type of exercise is Robertson Half-Kneeling Landmine Press?,Strength
What is the Pullups exercise?,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight."
Which body part does the Pullups exercise target?,Lats
What equipment is needed for the Pullups exercise?,Body Only
What is the difficulty level of the Pullups exercise?,Intermediate
What type of exercise is Pullups?,Strength
What is the rating of the Pullups exercise?,9.2
What is the Pull-up exercise?,"The pull-up is a multijoint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of ""relative strength"" which is strength in relation to body weight."
Which body part does the Pull-up exercise target?,Lats
What equipment is needed for the Pull-up exercise?,Body Only
What is the difficulty level of the Pull-up exercise?,Beginner
What type of exercise is Pull-up?,Strength
What is the rating of the Pull-up exercise?,8.9
Which body part does the Muscle Up exercise target?,Lats
What equipment is needed for the Muscle Up exercise?,Body Only
What is the difficulty level of the Muscle Up exercise?,Intermediate
What type of exercise is Muscle Up?,Strength
What is the rating of the Muscle Up exercise?,8.9
What is the Rope climb exercise?,"The rope climb is an exercise that is used commonly in CrossFit workouts and as a test of upper-body strength. It was even contested at the Olympics in the early 20th century. It targets a wide range of upper-body musculature, including the hands and forearms, shoulders, biceps, lats (latissimus dorsi), and core."
Which body part does the Rope climb exercise target?,Lats
What equipment is needed for the Rope climb exercise?,Body Only
What is the difficulty level of the Rope climb exercise?,Intermediate
What type of exercise is Rope climb?,Strength
What is the rating of the Rope climb exercise?,8.7
Which body part does the Wide-Grip Rear Pull-Up exercise target?,Lats
What equipment is needed for the Wide-Grip Rear Pull-Up exercise?,Body Only
What is the difficulty level of the Wide-Grip Rear Pull-Up exercise?,Beginner
What type of exercise is Wide-Grip Rear Pull-Up?,Strength
What is the rating of the Wide-Grip Rear Pull-Up exercise?,8.7
Which body part does the Side To Side Chins exercise target?,Lats
What equipment is needed for the Side To Side Chins exercise?,Body Only
What is the difficulty level of the Side To Side Chins exercise?,Intermediate
What type of exercise is Side To Side Chins?,Strength
What is the rating of the Side To Side Chins exercise?,8.4
What is the Neutral-grip pull-up exercise?,"The neutral-grip pull-up is a multijoint bodyweight exercise in which the reps are performed with the palms facing one another. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core. It can be used as a more shoulder-friendly alternative to straight-bar pull-ups, or to help perform more reps than you can perform overhand."
Which body part does the Neutral-grip pull-up exercise target?,Lats
What equipment is needed for the Neutral-grip pull-up exercise?,Body Only
What is the difficulty level of the Neutral-grip pull-up exercise?,Intermediate
What type of exercise is Neutral-grip pull-up?,Strength
What is the rating of the Neutral-grip pull-up exercise?,8.2
Which body part does the Kipping Muscle Up exercise target?,Lats
What equipment is needed for the Kipping Muscle Up exercise?,Body Only
What is the difficulty level of the Kipping Muscle Up exercise?,Intermediate
What type of exercise is Kipping Muscle Up?,Strength
What is the rating of the Kipping Muscle Up exercise?,7.2
Which body part does the One Arm Against Wall exercise target?,Lats
What equipment is needed for the One Arm Against Wall exercise?,Body Only
What is the difficulty level of the One Arm Against Wall exercise?,Intermediate
What type of exercise is One Arm Against Wall?,Stretching
What is the rating of the One Arm Against Wall exercise?,5.8
What is the One Handed Hang exercise?,"The single-arm hang is a static exercise that involves hanging from a bar by one hand. It is an advanced hanging exercise that demands above-average shoulder stability and grip strength, and may not be appropriate for some people. However, if someone is strong and stable enough to perform it, the movement can help build those same qualities."
Which body part does the One Handed Hang exercise target?,Lats
What equipment is needed for the One Handed Hang exercise?,Body Only
What is the difficulty level of the One Handed Hang exercise?,Intermediate
What type of exercise is One Handed Hang?,Stretching
What is the rating of the One Handed Hang exercise?,3.6
What is the Standing side bend stretch exercise?,"The standing side bend stretch is a stretching exercise targeting the obliques, the muscles that run along the side of the core. It is a common inclusion in dynamic warm-ups for the upper body, but can also be performed to help ""limber up"" for lifting or athletics anytime."
Which body part does the Standing side bend stretch exercise target?,Lats
What equipment is needed for the Standing side bend stretch exercise?,Body Only
What is the difficulty level of the Standing side bend stretch exercise?,Intermediate
What type of exercise is Standing side bend stretch?,Stretching
What is the rating of the Standing side bend stretch exercise?,3.2
What is the Burpee to pull-up exercise?,The burpee to pull-up is a variation of the bodyweight burpee in which the jump at the top of each rep leads into a jumping pull-up. It is popular in circuit-style and metcon workouts.
Which body part does the Burpee to pull-up exercise target?,Lats
What equipment is needed for the Burpee to pull-up exercise?,Body Only
What is the difficulty level of the Burpee to pull-up exercise?,Intermediate
What type of exercise is Burpee to pull-up?,Plyometrics
What is the rating of the Burpee to pull-up exercise?,0.0
What is the Negative pull-up exercise?,"The negative pull-up is a multijoint bodyweight exercise that focuses on just one half of the traditional pull-up: the lowering, eccentric, or ""negative"" portion. Because muscles are stronger eccentrically than they are concentrically, many people can perform negatives even if they can't perform full pull-ups. For this reason, it is a popular training tool to help people earn their first pull-up rep, or as a back-off exercise after doing full pull-ups."
Which body part does the Negative pull-up exercise target?,Lats
What equipment is needed for the Negative pull-up exercise?,Body Only
What is the difficulty level of the Negative pull-up exercise?,Intermediate
What type of exercise is Negative pull-up?,Strength
What is the rating of the Negative pull-up exercise?,0.0
What is the Chin-Up exercise?,"The a chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body, in an underhand position, with a grip that is narrower than shoulder-width. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand pull-ups. It can be used as a more shoulder-friendly alternative to straight-bar pull-ups, or to help perform more reps than you can perform overhand."
Which body part does the Chin-Up exercise target?,Lats
What equipment is needed for the Chin-Up exercise?,Body Only
What is the difficulty level of the Chin-Up exercise?,Intermediate
What type of exercise is Chin-Up?,Strength
Which body part does the HM Superman Lat Pull exercise target?,Lats
What equipment is needed for the HM Superman Lat Pull exercise?,Body Only
What is the difficulty level of the HM Superman Lat Pull exercise?,Intermediate
What type of exercise is HM Superman Lat Pull?,Strength
What is the AM Pull-Up exercise?,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight."
Which body part does the AM Pull-Up exercise target?,Lats
What equipment is needed for the AM Pull-Up exercise?,Body Only
What is the difficulty level of the AM Pull-Up exercise?,Intermediate
What type of exercise is AM Pull-Up?,Strength
Which body part does the UP Chin-Up exercise target?,Lats
What equipment is needed for the UP Chin-Up exercise?,Body Only
What is the difficulty level of the UP Chin-Up exercise?,Intermediate
What type of exercise is UP Chin-Up?,Strength
Which body part does the Holman Alternating Forward and Side Punch exercise target?,Lats
What equipment is needed for the Holman Alternating Forward and Side Punch exercise?,Body Only
What is the difficulty level of the Holman Alternating Forward and Side Punch exercise?,Intermediate
What type of exercise is Holman Alternating Forward and Side Punch?,Strength
What is the Jump to pull-up exercise?,"The jump to pull-up is a bodyweight exercise that targets the muscles of the back, biceps, and, to a lesser degree, legs. It involves jumping up to a pull-up bar between reps. Similar to a push-press, the legs help power through the most difficult portion of the pull-up, allowing you to perform more reps. Jumping pull-ups are often performed for moderate to high reps, such as 8-12 reps per set or more, as an accessory to other pulling or pull-up training, or as a full-body movement in a circuit or metcon."
Which body part does the Jump to pull-up exercise target?,Lats
What equipment is needed for the Jump to pull-up exercise?,Body Only
What is the difficulty level of the Jump to pull-up exercise?,Intermediate
What type of exercise is Jump to pull-up?,Strength
What is the Bent-over scapular slide exercise?,The bent-over scapular slide is an upper-body exercise that helps with scapular and shoulder mobility. It is commonly performed for time or reps as part of a dynamic warm-up for the upper body.
Which body part does the Bent-over scapular slide exercise target?,Lats
What equipment is needed for the Bent-over scapular slide exercise?,Body Only
What is the difficulty level of the Bent-over scapular slide exercise?,Intermediate
What type of exercise is Bent-over scapular slide?,Strength
What is the Iron cross stretch exercise?,The iron cross stretch is a bodyweight stretch that focuses on hip and thoracic spine mobility.
Which body part does the Iron cross stretch exercise target?,Lats
What equipment is needed for the Iron cross stretch exercise?,Body Only
What is the difficulty level of the Iron cross stretch exercise?,Intermediate
What type of exercise is Iron cross stretch?,Strength
Which body part does the Total Fitness Standing Lat Stretch exercise target?,Lats
What equipment is needed for the Total Fitness Standing Lat Stretch exercise?,Body Only
What is the difficulty level of the Total Fitness Standing Lat Stretch exercise?,Intermediate
What type of exercise is Total Fitness Standing Lat Stretch?,Strength
What is the King Maker Pull-Up exercise?,"The pull-up is a multi-joint bodyweight exercise that builds strength and muscle in the upper back, biceps, and core. It is often used as a measurement tool in military or tactical fitness tests, and is an excellent gauge of “relative strength” which is strength in relation to bodyweight."
Which body part does the King Maker Pull-Up exercise target?,Lats
What equipment is needed for the King Maker Pull-Up exercise?,Body Only
What is the difficulty level of the King Maker Pull-Up exercise?,Intermediate
What type of exercise is King Maker Pull-Up?,Strength
What is the Medicine ball slam exercise?,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout."
Which body part does the Medicine ball slam exercise target?,Lats
What equipment is needed for the Medicine ball slam exercise?,Medicine Ball
What is the difficulty level of the Medicine ball slam exercise?,Intermediate
What type of exercise is Medicine ball slam?,Plyometrics
What is the rating of the Medicine ball slam exercise?,7.9
Which body part does the Catch and Overhead Throw exercise target?,Lats
What equipment is needed for the Catch and Overhead Throw exercise?,Medicine Ball
What is the difficulty level of the Catch and Overhead Throw exercise?,Beginner
What type of exercise is Catch and Overhead Throw?,Plyometrics
What is the rating of the Catch and Overhead Throw exercise?,5.8
Which body part does the FYR2 Bent-Over Medicine Ball Slam exercise target?,Lats
What equipment is needed for the FYR2 Bent-Over Medicine Ball Slam exercise?,Medicine Ball
What is the difficulty level of the FYR2 Bent-Over Medicine Ball Slam exercise?,Intermediate
What type of exercise is FYR2 Bent-Over Medicine Ball Slam?,Strength
Which body part does the Dynamic Back Stretch exercise target?,Lats
What is the difficulty level of the Dynamic Back Stretch exercise?,Beginner
What type of exercise is Dynamic Back Stretch?,Stretching
What is the rating of the Dynamic Back Stretch exercise?,4.8
Which body part does the Chair Lower Back Stretch exercise target?,Lats
What is the difficulty level of the Chair Lower Back Stretch exercise?,Beginner
What type of exercise is Chair Lower Back Stretch?,Stretching
What is the rating of the Chair Lower Back Stretch exercise?,3.2
Which body part does the Side-Lying Floor Stretch exercise target?,Lats
What is the difficulty level of the Side-Lying Floor Stretch exercise?,Beginner
What type of exercise is Side-Lying Floor Stretch?,Stretching
What is the rating of the Side-Lying Floor Stretch exercise?,1.0
What is the Band good morning- exercise?,"The band good morning is an exercise targeting the hamstrings and glutes. It is often performed in powerlifting-style training for high reps, or in the place of barbell good mornings."
Which body part does the Band good morning- exercise target?,Lower Back
What equipment is needed for the Band good morning- exercise?,Bands
What is the difficulty level of the Band good morning- exercise?,Intermediate
What type of exercise is Band good morning-?,Strength
Which body part does the FYR2 Monster Banded Good Morning exercise target?,Lower Back
What equipment is needed for the FYR2 Monster Banded Good Morning exercise?,Bands
What is the difficulty level of the FYR2 Monster Banded Good Morning exercise?,Intermediate
What type of exercise is FYR2 Monster Banded Good Morning?,Strength
What is the Band deadlift exercise?,The band deadlift is a lower-body exercise that mainly targets the hamstrings while also benefiting the glutes and lats using a proper hip-hinging motion.
Which body part does the Band deadlift exercise target?,Lower Back
What equipment is needed for the Band deadlift exercise?,Bands
What is the difficulty level of the Band deadlift exercise?,Intermediate
What type of exercise is Band deadlift?,Strength
What is the Lower back SMR exercise?,"Lower back self-myofascial release (SMR) is a self-administered soft-tissue treatment, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the quadratus lumborum or spinal erector (erector spinae) muscles of the lower back, some people find they can cause this often painful and tight area to relax or ""release."" Lower back SMR is often accompanied by SMR on the glutes or piriformis muscles, or by stretches that target the piriformis or hips. However, some people find that SMR on the lower back can aggravate existing pain or injury, so be cautious when performing it."
Which body part does the Lower back SMR exercise target?,Lower Back
What equipment is needed for the Lower back SMR exercise?,Foam Roll
What is the difficulty level of the Lower back SMR exercise?,Intermediate
What type of exercise is Lower back SMR?,Stretching
What is the rating of the Lower back SMR exercise?,4.5
What is the Barbell deficit deadlift exercise?,"The barbell deficit deadlift is a compound exercise targeting the posterior chain. It is commonly utilized in powerlifting training to build pulling strength off the floor, but is also an effective muscle-building movement for the glutes and hamstrings. It is usually performed with lighter weight, and perhaps for higher reps, than traditional deadlifts. If these make your back sore, decrease the deficit and/or wear a weightlifting belt."
Which body part does the Barbell deficit deadlift exercise target?,Lower Back
What equipment is needed for the Barbell deficit deadlift exercise?,Barbell
What is the difficulty level of the Barbell deficit deadlift exercise?,Beginner
What type of exercise is Barbell deficit deadlift?,Powerlifting
What is the rating of the Barbell deficit deadlift exercise?,9.4
Which body part does the Deadlift with Bands exercise target?,Lower Back
What equipment is needed for the Deadlift with Bands exercise?,Barbell
What is the difficulty level of the Deadlift with Bands exercise?,Beginner
What type of exercise is Deadlift with Bands?,Powerlifting
What is the rating of the Deadlift with Bands exercise?,8.7
Which body part does the Deadlift with Chains exercise target?,Lower Back
What equipment is needed for the Deadlift with Chains exercise?,Barbell
What is the difficulty level of the Deadlift with Chains exercise?,Beginner
What type of exercise is Deadlift with Chains?,Powerlifting
What is the rating of the Deadlift with Chains exercise?,8.6
Which body part does the Rack Pull with Bands exercise target?,Lower Back
What equipment is needed for the Rack Pull with Bands exercise?,Barbell
What is the difficulty level of the Rack Pull with Bands exercise?,Beginner
What type of exercise is Rack Pull with Bands?,Powerlifting
What is the rating of the Rack Pull with Bands exercise?,8.5
What is the Rack pull exercise?,"The rack pull is a variation of the deadlift performed from an elevated height, either using boxes, safety pins, or the safeties in a squat rack. It targets all the same muscles as the deadlift, including the glutes, hamstrings, upper back, lower back, and grip. It can be used to strengthen deadlift lockout, but also as a deadlift alternative for people who can't deadlift from the floor without pain."
Which body part does the Rack pull exercise target?,Lower Back
What equipment is needed for the Rack pull exercise?,Barbell
What is the difficulty level of the Rack pull exercise?,Intermediate
What type of exercise is Rack pull?,Powerlifting
What is the rating of the Rack pull exercise?,8.3
Which body part does the Seated Good Mornings exercise target?,Lower Back
What equipment is needed for the Seated Good Mornings exercise?,Barbell
What is the difficulty level of the Seated Good Mornings exercise?,Beginner
What type of exercise is Seated Good Mornings?,Powerlifting
What is the rating of the Seated Good Mornings exercise?,8.1
Which body part does the Stiff Leg Barbell Good Morning exercise target?,Lower Back
What equipment is needed for the Stiff Leg Barbell Good Morning exercise?,Barbell
What is the difficulty level of the Stiff Leg Barbell Good Morning exercise?,Beginner
What type of exercise is Stiff Leg Barbell Good Morning?,Strength
What is the rating of the Stiff Leg Barbell Good Morning exercise?,8.1
Which body part does the Reverse Band Deadlift exercise target?,Lower Back
What equipment is needed for the Reverse Band Deadlift exercise?,Barbell
What is the difficulty level of the Reverse Band Deadlift exercise?,Beginner
What type of exercise is Reverse Band Deadlift?,Powerlifting
What is the rating of the Reverse Band Deadlift exercise?,0.0
What is the Paul Carter Romanian Deadlift exercise?,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Which body part does the Paul Carter Romanian Deadlift exercise target?,Lower Back
What equipment is needed for the Paul Carter Romanian Deadlift exercise?,Barbell
What is the difficulty level of the Paul Carter Romanian Deadlift exercise?,Intermediate
What type of exercise is Paul Carter Romanian Deadlift?,Strength
What is the TBS Good Morning exercise?,"The barbell good morning is an exercise that targets glute, hamstring, and lower back development. It is often trained as an accessory movement to the deadlift, but also has value on its own. It is sometimes performed for reps in traditional strength-focused rep ranges such as 5-8 reps per set, but due to the risk posed to the lower back, is rarely treated as a max-effort single-rep lift."
Which body part does the TBS Good Morning exercise target?,Lower Back
What equipment is needed for the TBS Good Morning exercise?,Barbell
What is the difficulty level of the TBS Good Morning exercise?,Intermediate
What type of exercise is TBS Good Morning?,Strength
What is the TBS Romanian Deadlift exercise?,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Which body part does the TBS Romanian Deadlift exercise target?,Lower Back
What equipment is needed for the TBS Romanian Deadlift exercise?,Barbell
What is the difficulty level of the TBS Romanian Deadlift exercise?,Intermediate
What type of exercise is TBS Romanian Deadlift?,Strength
What is the Barbell deadlift- exercise?,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift."
Which body part does the Barbell deadlift- exercise target?,Lower Back
What equipment is needed for the Barbell deadlift- exercise?,Barbell
What is the difficulty level of the Barbell deadlift- exercise?,Intermediate
What type of exercise is Barbell deadlift-?,Strength
What is the Deadlift - Gethin Variation exercise?,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift."
Which body part does the Deadlift - Gethin Variation exercise target?,Lower Back
What equipment is needed for the Deadlift - Gethin Variation exercise?,Barbell
What is the difficulty level of the Deadlift - Gethin Variation exercise?,Intermediate
What type of exercise is Deadlift - Gethin Variation?,Strength
What is the Barbell good morning exercise?,"The barbell good morning is an exercise that targets glute, hamstring, and lower back development. It is often trained as an accessory movement to the deadlift, but also has value on its own. It is sometimes performed for reps in traditional strength-focused rep ranges such as 5-8 reps per set, but due to the risk posed to the lower back, is rarely treated as a max-effort single-rep lift."
